"","DataZone","A Road","B Road","Local Access Road","Local Road","Minor Road","Motorway","Restricted Local Access Road","Secondary Access Road"
"368","S01006873",15648.88,8762.48,3349.48,3270.64,25108.64,0,62988.53,0
"369","S01006874",4060.19,12047.49,240.2,7142.64,24473.43,0,26209.9,0
"370","S01006875",0,868.27,0,2330.36,1758.24,0,596.3,0
"371","S01006876",7512.55,7248.41,93.54,1732.17,27461.01,0,22663.96,0
"372","S01006877",15015.56,1107.8,5806.2,6177.1,50746.75,0,59366.97,0
"373","S01006878",15380.86,6585.81,137.49,8535.72,35535.72,0,70030.67,58.02
"374","S01006879",17923.17,20233.8,1152,8094.88,34970.39,0,78826.4,0
"375","S01006880",1706.51,0,681.71,2038.69,11395.86,0,15186.88,0
"376","S01006881",9527.73,716.81,0,753.8,15757.05,0,34573.42,125.59
"377","S01006882",317.37,0,55.04,1076.56,0,0,0,0
"378","S01006883",415.54,0,0,1624.95,425.44,0,83.89,0
"379","S01006884",763.27,0,17.74,3480.89,896.32,0,163.42,0
"380","S01006885",6888.9,0,1179.48,2932.87,7589.4,0,12228.24,0
"381","S01006886",65.45,8311.88,0,1994.37,34342.22,0,55991.61,0
"382","S01006887",3298.54,3629.16,57.62,1587.72,11620.42,0,13871.03,0
"383","S01006888",0,9883.75,185.65,5225.53,15028.21,0,43660.61,0
"384","S01006889",0,0,0,1951.91,1087.38,0,251.28,72.44
"385","S01006890",0,294.12,0,2151.46,600.59,0,21.26,0
"386","S01006891",0,564.75,0,3414.2,836.05,0,896.38,107.95
"387","S01006892",0,109.37,0,2375.83,0,0,315.74,0
"388","S01006893",0,0,0,1196.81,1093.9,0,156.58,0
"389","S01006894",252.76,455.31,0,3204.1,625.97,0,80.13,0
"390","S01006895",0,550.6,0,2038.55,0,0,194.3,284.73
"391","S01006896",0,0,410.16,3107.51,666.68,0,325.5,0
"392","S01006897",0,0,0,1504.58,392.44,0,60.45,0
"393","S01006898",355.74,373.61,0,4071.43,149.73,0,124.43,0
"394","S01006899",0,0,0,2125.48,214.94,0,0,0
"395","S01006900",0,0,0,2289.42,214.74,0,0,0
"396","S01006901",0,315.23,0,2105.78,935.51,0,271.08,0
"397","S01006902",0,0,96.52,1912.89,859.03,0,0,0
"398","S01006903",461.79,544.55,221.29,2998.41,0,0,140.09,0
"399","S01006904",83,1232.6,0,1491.53,2.15,0,155.34,0
"400","S01006905",134.92,586.37,0,3510.83,818.05,0,105.64,0
"401","S01006906",0,127.35,0,2472.61,0,0,0,0
"402","S01006907",0,1780.38,124.52,3480.03,0,0,1217.2,0
"403","S01006908",0,578.64,0,2034.12,324.3,0,173.22,0
"404","S01006909",872.36,0,0,8153.78,3863.39,0,8192.05,0
"405","S01006910",0,5596.82,797.19,8029.79,16391.22,0,26845.94,0
